make,label,campaigns
dutchmen,Dutchmen,13
goodyear,Goodyear,13
mclaren,Mclaren,13
motiv,Motiv,13
piaggio,Piaggio,13
seagrave,Seagrave,13
sutphen,Sutphen,13
thor,Thor,13
zf,Zf,13
bendix,Bendix,12
drv,Drv,12
eldorado-national,Eldorado,12
evenflo,Evenflo,12
fontaine,Fontaine,12
lamborghini,Lamborghini,12
morryde,Morryde,12
roush,Roush,12
brinkley,"Brinkley RV",11
bugatti,Bugatti,11
champion,Champion,11
coach-and-equipment,"Coach And Equipment",11
fleetwood-rv,Fleetwood,11
lion,Lion,11
maintainer,Maintainer,11
kibbi,Renegade,11
smeal,Smeal,11
continental,Continental,10
hale,Hale,10
heil,Heil,10
midwest,Midwest,10
newell,Newell,10
open-range,"Open Range",10
ricon,Ricon,10
setra,Setra,10
spartan-chassis,Spartan,10
startrans,Startrans,10
tci,Tci,10
gst,Toyota,10
altec-industries,Altec,9
carrier,Carrier,9
continental-tire,Continental,9
crossroads,Crossroads,9
farber,Farber,9
fisker,Fisker,9
genie,Genie,9
harbor-freight,"Harbor Freight",9
michelin,Michelin,9
oev,"Orange Ev",9
stoughton,Stoughton,9
braun-ambulances,"Braun Ambulances",8
hsm,"Ce White",8
crane-carrier,"Crane Carrier",8
custom-fire,"Custom Fire",8
dana,Dana,8
dexter-axle,"Dexter Axle",8
imt,Imt,8
kaufman,Kaufman,8
pj-trailers,"Pj Trailers",8
reading,Reading,8
sumitomo,Sumitomo,8
vactor,Vactor,8
akron-brass,"Akron Brass Company",7
alexis-fire,"Alexis Fire Equipment",7
autoliv,Autoliv,7
caterpillar,Caterpillar,7
crossroads-rv,Crossroads,7
diamond-coach,"Diamond Coach",7
dorman,Dorman,7
eldorado-national-california,Eldorado,7
elgin,Elgin,7
evergreen,Evergreen,7
karma,Karma,7
kenworth,Kenworth,7
lotus,Lotus,7
orange-ev,"Orange Ev",7
dbna,Orion,7
riverside,Riverside,7
saf-holland,"Saf Holland",7
alamo,Schwarze,7
showhauler,Showhauler,7
storyteller,"Storyteller Overland",7
temsa-global,Temsa,7
vac-tron,"Vac Tron",7
yakima,Yakima,7
charles-machine,"Charles Machine",6
coachmen,Coachmen,6
cottrell,Cottrell,6
doosan,Doosan,6
escape-trailer,Escape,6
bato,Firestone,6
highland,Highland,6
jerr-dan,"Jerr Dan",6
lance-camper,"Lance Camper",6
lci,Lci,6
lion-bus,Lion,6
lion-electric,Lion,6
lode-king,"Lode King",6
manac,Manac,6
arg,Monaco,6
nikola,Nikola,6
pleasant-valley,"Pleasant Valley",6
pleasure-way,"Pleasure Way",6
prime-time,"Prime Time",6
reyco,"Reyco Granning",6
cooper-tire,Roadmaster,6
strick,Strick,6
tiffin-motorhomes,Tiffin,6
utility-trailer,"Utility Trailer",6
waymo,Waymo,6
wilson,Wilson,6
agility,Agility,5
ameritrans,Ameritrans,5
arvinmeritor,Arvinmeritor,5
big-tex-trailer,"Big Tex",5
collins,Collins,5
cooper,Cooper,5
dorel,Dorel,5
double-k,"Double K",5
driv,Driv,5
elgin-sweeper,"Elgin Sweeper",5
ember,Ember,5
endera,Endera,5
fna,Ferrari,5
freedman,Freedman,5
tegol,Hawk,5
hendrickson,Hendrickson,5
america-honda-co,Honda,5
erwin-hymer,Hymer,5
kymco,Kymco,5
marion,Marion,5
morgan-olson,"Morgan Olson",5
firefly,Multiplex,5
multiquip,Multiquip,5
rolls-royce,"Rolls Royce",5
silver-eagle,"Silver Eagle",5
space-craft,"Space Craft",5
sprinter,Sprinter,5
starcraft-bus,"Starcraft Bus",5
storyteller-overland,"Storyteller Overland",5
svi-trucks,"Svi Trucks",5
syntec,Syntec,5
trails-west,"Trails West",5
vanguard,Vanguard,5
vanleigh,Vanleigh,5
xos,Xos,5
zoox,Zoox,5
alliance-rv,"Alliance Rv",4
bigfoot,Bigfoot,4
bluecar,Bluecar,4
braxton,"Braxton Creek",4
