reference,launched,make,models,concern,vehicles,rewrites_caught,page
R/2019/007,2019-03-08,Mercedes-Benz,"GLC and C-Class","THE STATUS OF THE FRONT PASSENGER AIRBAGS DISPLAYED IN THE CENTRE CONSOLE MIGHT NOT BE INDICATED CORRECTLY",73286,0,https://carsmultiverse.com/uk-recall/r-2019-007/
R/2019/081,2019-03-07,Vw,"Passat and Arteon","THE JOINT BETWEEN THE SUN ROOF TRIM AND SUN ROOF FRAME IS INCORRCTLY BONDED",16,0,https://carsmultiverse.com/uk-recall/r-2019-081/
RM/2019/006,2019-03-06,Piaggio,Typhoon,"FUEL TANK VENT HOSE TO BE MODIFIED",84,0,https://carsmultiverse.com/uk-recall/rm-2019-006/
R/2019/085,2019-03-06,Ford,Focus,"BOLTS FIXING FRONT SUSPENSION TO VEHICLE MAY NOT BE TIGHTENED TO CORRECT TORQUE",22,0,https://carsmultiverse.com/uk-recall/r-2019-085/
R/2019/079,2019-03-06,Skoda,Karoq,"POSSIBLE DISCREPANCY IN THE MANUFACTURING PROCESS OF THE CENTRE REAR SEAT HEAD RESTRAINT",1627,0,https://carsmultiverse.com/uk-recall/r-2019-079/
R/2019/078,2019-03-06,Seat,Ateca,"INTERNAL SAFETY PINS MAY BE MISSING FROM THE REAR SEAT CENTRE HEADREST",2477,0,https://carsmultiverse.com/uk-recall/r-2019-078/
R/2018/374,2019-03-05,"Mercedes-Benz Vans","Sprinter 910","THE CONNECTION BETWEEN THE STEERING SHAFT AND STEERING GEAR MAY HAVE BEEN FITTED WITH AN INCORRECT BOLT",7,0,https://carsmultiverse.com/uk-recall/r-2018-374/
R/2019/071,2019-03-04,Bmw,X1,"REAR LIGHTS MAY BE FIXED WITH INCORRECT SECURING NUTS",3722,0,https://carsmultiverse.com/uk-recall/r-2019-071/
R/2018/366,2019-03-04,"Toyota (Gb)",Proace,"THE TIGHTENING TORQUE SET TO THE THREADED CONNECTION BETWEEN THE BALL JOINT AND KNUCKLE MAY DECREASE",5820,0,https://carsmultiverse.com/uk-recall/r-2018-366/
R/2019/058,2019-03-01,Rolls-Royce,Ghost,"THE AUXILLIARY WATER PUMP'S ELECTRONIC CIRCUIT BOARD CAN LEAD TO SHORT CIRCUIT",238,0,https://carsmultiverse.com/uk-recall/r-2019-058/
R/2019/057,2019-03-01,Bmw,"7 Series, 5 Series, 6 Series and 3 more","AUXILIARY WATER PUMP'S ELECTRONIC CIRCUIT BOARD COULD LEAD TO A SHORT CIRCUIT",93856,0,https://carsmultiverse.com/uk-recall/r-2019-057/
R/2019/025,2019-03-01,Subaru,"Forester, BRZ, Impreza and 3 more","THE LOAD MAY EXCEED THE VALVE SPRING'S FATIGUE STRENGTH AND THE SPRING MAY FRACTURE",4872,0,https://carsmultiverse.com/uk-recall/r-2019-025/
R/2019/072,2019-02-28,Ferrari,"488 Spider, F12 TDF, GTC4 Lusso and 6 more","MANUFACTURING FAULT WITH FUEL VAPOUR SEPARATOR",65025,0,https://carsmultiverse.com/uk-recall/r-2019-072/
R/2019/069,2019-02-28,"Volvo Trucks","FH FM 4","THE LINK ROD RETAINER JOINT TORQUE TIGHTENING PROCESS WAS NOT SUFFICIENTLY SECURED",9,0,https://carsmultiverse.com/uk-recall/r-2019-069/
R/2019/055,2019-02-28,Hyundai,I30,"THE SUNROOF MOTOR HAS AN INCORRECT SOFTWARE VERSION INSTALLED",22,0,https://carsmultiverse.com/uk-recall/r-2019-055/
R/2019/068,2019-02-27,Citroen,"C4 Aircross","THE BATTERY CHARGE PROGRAM MAY NOT BE CORRECT TO SPECIFICATION",2,0,https://carsmultiverse.com/uk-recall/r-2019-068/
R/2019/066,2019-02-27,Audi,A3,"POSSIBLE DISCREPANCY IN THE MANUFACTURING PROCESS OF THE CENTRE REAR SEAT HEAD RESTRAINT",1573,0,https://carsmultiverse.com/uk-recall/r-2019-066/
R/2019/065,2019-02-27,Audi,"Q8, A8 and Q7","AN ERROR IN THE CASTING PROCESS MAY AFFECT THE RIGIDITY OF THE SHOCK ABSORBER FORK",93,0,https://carsmultiverse.com/uk-recall/r-2019-065/
R/2019/064,2019-02-27,Vw,Touareg,"THE SHOCK ABSORBER FORK ON THE FRONT AXLE MAY NOT HAVE BEEN PRODUCED WITH CORRECT CASTING TEMPERATURE",10,0,https://carsmultiverse.com/uk-recall/r-2019-064/
R/2018/349,2019-02-27,Mercedes-Benz,"CLA and B Class","THE CALIBRATION OF THE FRONT PASSENGER SEAT OCCUPANT CLASIFICATION SYSTEM MAY NOT CORRESPOND TO SPECIFICATIONS",326,0,https://carsmultiverse.com/uk-recall/r-2018-349/
R/2018/302,2019-02-27,"Daimler Truck","Actros 963 and Actros 964","FRONT END FLAP AIR DEFLECTOR OUTER SECTION DOES NOT MATCH CURRENT SERIES PRODUCTION SPECIFICATIONS",9554,0,https://carsmultiverse.com/uk-recall/r-2018-302/
RSPV/2019/002,2019-02-26,Polaris,"Ranger EV","INCORRECT ELECTRICAL WIRING TO THE ACCELERATOR PEDAL POSITION SENSOR",115,0,https://carsmultiverse.com/uk-recall/rspv-2019-002/
R/2018/360,2019-02-26,Porsche,Cayenne,"IF FUEL NOZZLE IS TURNED OR NOT INSERTED FULLY INTO FILLER TUBE FUEL CAN GET INTO CARBON CANISTER IN FUEL TANK SYSTEM",294,0,https://carsmultiverse.com/uk-recall/r-2018-360/
R/2019/063,2019-02-25,Ds,"DS7 Crossback","A DRIVER'S AIRBAG COMPONENT MAY NOT BE TO CORRECT SPECIFICATION",11,0,https://carsmultiverse.com/uk-recall/r-2019-063/
R/2019/062,2019-02-25,Peugeot,5008,"THE TIGHTENING OF A FIXING OF AN ELECTRICAL HARNESS MAY NOT BE TO CORRECT SPECIFICATION ON THE CENTRALISED VOLTAGE MAINTAINING DEVICE",159,0,https://carsmultiverse.com/uk-recall/r-2019-062/
R/2019/059,2019-02-25,Vauxhall,"Zafira C, Astra J and Cascada","SOFTWARE ISSUE WITH HILL START ASSIST FEATURE",127809,0,https://carsmultiverse.com/uk-recall/r-2019-059/
R/2019/036,2019-02-25,Mazda,MX5,"MODELS FITTED WITH AUTOMATIC TRANSMISSION MAY UNEXPECTEDLY DOWNSHIFT",697,0,https://carsmultiverse.com/uk-recall/r-2019-036/
R/2018/378,2019-02-25,"Toyota (Gb)","RAV4, Auris, Verso and 1 more","INCORRECT TIGHTENING TORQUE WAS POSSIBLY APPLIED DURING PREVIOUS INJECTOR REMOVAL OR REPLACEMENT",1284,0,https://carsmultiverse.com/uk-recall/r-2018-378/
R/2018/381,2019-02-24,"Mercedes-Benz Vans","Vito 447","INCORRECT DOOR LOCK OPERATING LEVER ON RIGHT SIDE OF VEHICLE MAY HAVE BEEN INSTALLED",16,0,https://carsmultiverse.com/uk-recall/r-2018-381/
R/2018/380,2019-02-24,"Mercedes-Benz Vans","Sprinter 910 and Sprinter 907","INCORRECT DOOR LOCK OPERATING LEVER ON RIGHT SIDE OF VEHICLE MAY HAVE BEEN INSTALLED",874,0,https://carsmultiverse.com/uk-recall/r-2018-380/
R/2018/379,2019-02-24,"Mercedes-Benz Vans","Sprinter 906","INCORRECT DOOR LOCK OPERATING LEVER ON RIGHT SIDE OF VEHICLE MAY HAVE BEEN INSTALLED",365,0,https://carsmultiverse.com/uk-recall/r-2018-379/
RCOMP/2019/001,2019-02-22,Timken,"Timken Wheel-Pac Repair KIT","A POSSIBLE INTERFERENCE CONDITION MAY PRESENT ITSELF ON INSTALLATION OF THE BEARING AND CAUSE SPINDLE FAILURE",546,0,https://carsmultiverse.com/uk-recall/rcomp-2019-001/
R/2019/060,2019-02-22,Audi,"A7 and A6","THE AUXILIARY HEATER ELEMENT IN THE AIR CONDITIONER MAY FAIL",9814,0,https://carsmultiverse.com/uk-recall/r-2019-060/
R/2019/021,2019-02-22,Mercedes-Benz,"A Class (177)","A DESIGNED PERFORATION IN THE DASHBOARD MAY NOT MATCH THE CURRENT SPECIFICATION. THE AIRBAG COULD BE DAMAGED AS IT OPENS",2,0,https://carsmultiverse.com/uk-recall/r-2019-021/
R/2018/354,2019-02-22,Mercedes-Benz,E-Class,"REAR SPOILER ON REAR END DOOR MAY NOT HAVE BEEN FITTED TO SPECIFICATION",9,0,https://carsmultiverse.com/uk-recall/r-2018-354/
R/2018/351,2019-02-22,Ford,"C-Max, Kuga, S-Max and 3 more","VEHICLE COULD SUFFER CLUTCH PRESSURE PLATE FRACTURE",398982,0,https://carsmultiverse.com/uk-recall/r-2018-351/
R/2018/350,2019-02-22,Ford,"Transit Connect","VEHICLE COULD SUFFER CLUTCH PRESSURE PLATE FRACTURE",554,0,https://carsmultiverse.com/uk-recall/r-2018-350/
R/2019/056,2019-02-18,"Mercedes Benz Bus",Citaro,"ROOF COVER FOR HYBRID STORAGE BATTERIES COULD BECOME DETACHED",1,0,https://carsmultiverse.com/uk-recall/r-2019-056/
R/2019/051,2019-02-15,Skoda,"Octavia and Superb","DRIVER AIRBAG GENERATOR HOUSING COULD COME LOOSE",618,0,https://carsmultiverse.com/uk-recall/r-2019-051/
R/2019/073,2019-02-14,Ferrari,"GTC4 Lusso and GTC4 Lusso T","DOOR LOCK CABLE RETAINING SLOT MAY BREAK",5860,0,https://carsmultiverse.com/uk-recall/r-2019-073/
R/2019/053,2019-02-12,Citroen,"C3 Aircross","THE WIRES IN ONE OF THE CONNECTORS OF THE SEATS POSITION SENSOR MAY NOT BE CORRECT TO SPECIFICATION",12649,0,https://carsmultiverse.com/uk-recall/r-2019-053/
R/2019/045,2019-02-12,Ford,Focus,"POTENTIAL FOR THE REAR DOORS TO OPEN WHEN THE REAR WINDOWS ARE LOWERED",1729,0,https://carsmultiverse.com/uk-recall/r-2019-045/
RM/2019/002,2019-02-08,Suzuki,UK110NE,"THE TAPER OF THE SURFACE OF THE CRANKSHAFT WHICH FIXES TO THE ROTOR IS INCORRECTLY MANUFACTURED",1020,0,https://carsmultiverse.com/uk-recall/rm-2019-002/
R/2019/050,2019-02-08,Ford,"Transit and Transit Custom","INCORRECTLY TORQUED LEFT HAND SEATBELT TO SEATBELT SHOULDER HEIGHT ADJUSTER BOLT",6,0,https://carsmultiverse.com/uk-recall/r-2019-050/
R/2019/011,2019-02-08,"Daimler Truck","Arocs 3363","THE FENDER BRACKET MAY CRACK AT THE WELDED STRUCTURE BETWEEN 1ST AND 2ND REAR AXLES",38,0,https://carsmultiverse.com/uk-recall/r-2019-011/
RSPV/2019/001,2019-02-07,Kawasaki,Mule,"ENGINE OIL COOLER HOSES MAY SEPARATE FROM THEIR CLAMP JOINTS",134,0,https://carsmultiverse.com/uk-recall/rspv-2019-001/
RM/2019/004,2019-02-06,Ktm,"1290 Super Adventure","IN THE SEAT AREA THERE MAY BE MINIMAL FUEL LEAKAGE",339,0,https://carsmultiverse.com/uk-recall/rm-2019-004/
R/2019/042,2019-02-05,Maserati,"Ghibli and Quattroporte","POSSIBLE LEAK MAY OCCUR IN THE FUEL LINE AT THE QUICK RELEASE CONNECTOR",252,0,https://carsmultiverse.com/uk-recall/r-2019-042/
R/2018/345,2019-02-05,"Daimler Truck",Econic,"REAR AXLE BRAKE PIPES MAY CHAFE ON THE PROPELLER SHAFT WHEN SUSPENSION IS AT IT'S LOWEST POSITION",75,0,https://carsmultiverse.com/uk-recall/r-2018-345/
R/2018/323,2019-02-05,"Daimler Truck","Fuso Canter 468","THE ELECTRICAL WIRING HARNESS OF THE AIR BAG CONTROL UNIT MUST BE RELOCATED",6110,0,https://carsmultiverse.com/uk-recall/r-2018-323/
R/2019/039,2019-02-04,Seat,"Ibiza and Arona","THE ADJUSTED HANDBRAKE LEVER TRAVEL FOR PARKING CAN INCREASE",39708,0,https://carsmultiverse.com/uk-recall/r-2019-039/
R/2019/037,2019-02-04,Vw,Polo,"THE ADJUSTED HANDBRAKE LEVER TRAVEL FOR PARKING THE VEHICLE CAN INCREASE",44256,0,https://carsmultiverse.com/uk-recall/r-2019-037/
RM/2020/023,2019-02-01,Yamaha,XP530,"INCORRECT ECU PARAMETERS OF THE INTAKE PRESSURE SENSOR VALUES",300,0,https://carsmultiverse.com/uk-recall/rm-2020-023/
RM/2020/022,2019-02-01,Yamaha,XP530,"THE DURABILITY OF THE FINAL DRIVE BELT IS NOT RELIABLE ENOUGH",300,0,https://carsmultiverse.com/uk-recall/rm-2020-022/
R/2019/035,2019-02-01,Citroen,"Spacetourer and Dispatch IV","THE STEERING RACK ASSEMBLY MAY NOT BE CORRECT TO SPECIFICATION",20,0,https://carsmultiverse.com/uk-recall/r-2019-035/
R/2019/034,2019-02-01,Peugeot,"Expert 4 and Traveller","THE STEERING RACK ASSEMBLY MAY NOT BE CORRECT TO SPECIFICATION",28,0,https://carsmultiverse.com/uk-recall/r-2019-034/
R/2019/033,2019-02-01,Citroen,"Dispatch IV and Spacetourer","THE FIXING BOLT OF THE FRONT SUSPENSION WISHBONE MAY NOT BE CORRECT TO SPECIFICATION",94,0,https://carsmultiverse.com/uk-recall/r-2019-033/
R/2019/032,2019-02-01,Peugeot,"Expert 4 and Traveller","THE FIXING BOLT OF THE FRONT SUSPENSION WISHBONE MAY NOT BE CORRECT TO SPECIFICATION",42,0,https://carsmultiverse.com/uk-recall/r-2019-032/
R/2019/031,2019-02-01,Citroen,"Spacetourer and Dispatch IV","REAR SUSPENSION WISHBONE MOUNTING BOLTS NAY NOT BE CORRECT TO SPECIFICATION",626,0,https://carsmultiverse.com/uk-recall/r-2019-031/
R/2019/030,2019-02-01,Peugeot,"Expert 4 and Traveller","THE REAR SUSPENSION WISHBONE MOUNTING BOLTS MAY NOT BE CORRECT TO SPECIFICATION",652,0,https://carsmultiverse.com/uk-recall/r-2019-030/
R/2019/029,2019-02-01,Citroen,"Dispatch IV and Spacetourer","UNDER CERTAIN DRIVING CONDITIONS THE AIR CONDITIONING COMPRESSOR PULLEY COULD BREAK",4620,0,https://carsmultiverse.com/uk-recall/r-2019-029/
R/2019/028,2019-02-01,Peugeot,"Expert 4 and Traveller","UNDER CERTAIN DRIVING CONDITIONS THE AIR CONDITIONING COMPRESSOR PULLEY COULD BREAK",5286,0,https://carsmultiverse.com/uk-recall/r-2019-028/
R/2019/027,2019-02-01,Citroen,"Dispatch IV and Spacetourer","EXCESSIVE LOADING OF THE FRONT SUSPENSION COULD RESULT IN THE LOOSENING OF THE FRONT WISHBONE LOWER BALL JOINTS",5266,0,https://carsmultiverse.com/uk-recall/r-2019-027/
R/2019/026,2019-02-01,Peugeot,"Expert 4 and Traveller","EXCESSIVE LOADING OF FRONT SUSPENSION COULD RESULT IN THE LOOSENING OF THE FRONT WISHBONE LOWER BALL JOINTS",5884,0,https://carsmultiverse.com/uk-recall/r-2019-026/
R/2019/018,2019-02-01,Bmw,"X6 and X5","THE IDLER PULLEY BOLT COULD BECOME LOOSENED OVER TIME",42246,0,https://carsmultiverse.com/uk-recall/r-2019-018/
RM/2019/003,2019-01-31,"Harley Davidson","XG750A Street ROD and XG750 Street","THE BRAKE CALIPER BORE AREA MAY EXPERIENCE A BUILD UP OF CORROSION OVER TIME",2296,0,https://carsmultiverse.com/uk-recall/rm-2019-003/
R/2019/015,2019-01-31,"Land Rover","Range Rover and Range Rover Sport","THE DIRECTIONAL INDICATORS FAIL TO OPERATE WHEN THE STEERING COLUMN MOUNTED CONTROL STALKS ARE USED",4662,0,https://carsmultiverse.com/uk-recall/r-2019-015/
R/2019/013,2019-01-31,"Land Rover","Discovery, Range Rover Sport, Range Rover Velar and 1 more","CRANKSHAFT PULLEY RETAINING BOLT MAY FRACTURE",876,0,https://carsmultiverse.com/uk-recall/r-2019-013/
R/2019/001,2019-01-30,Hyundai,Kona,"THE AIRBAG CONTROL UNIT MAY DETECT A CRASH SIGNAL AND COMMAND DEPLOYMENT OR NON DEPLOYMENT OF THE AIRBAG",416,0,https://carsmultiverse.com/uk-recall/r-2019-001/
R/2018/343,2019-01-30,Honda,CR-V,"TAKATA PASSENGER AIRBAG INFLATOR MAY RUPTURE",21494,0,https://carsmultiverse.com/uk-recall/r-2018-343/
R/2018/342,2019-01-30,Honda,"Accord Tourer, Jazz Hybrid, Insight and 2 more","TAKATA PASSENGER AIRBAG INFLATOR MAY RUPTURE",599135,0,https://carsmultiverse.com/uk-recall/r-2018-342/
R/2019/017,2019-01-29,Renault,Trafic,"SEATBELT MAY BECOME STUCK DUE TO INCORRECT FITTING OF THE REEL HOUSING",5,0,https://carsmultiverse.com/uk-recall/r-2019-017/
R/2019/014,2019-01-29,Jaguar,"F-Pace, F Type and XJ","THE CRANKSHAFT PULLEY RETAINING BOLT MAY FRACTURE",87,0,https://carsmultiverse.com/uk-recall/r-2019-014/
R/2019/004,2019-01-29,Mercedes-Benz,"C-Class and E-Class","THE LOCK STATUS OF THE STEERING COUPLING WAS NOT CORRECTLY DOCUMENTED",8,0,https://carsmultiverse.com/uk-recall/r-2019-004/
R/2019/003,2019-01-29,Mercedes-Benz,"A Class","THE LOCKS OF THE RIGHT AND/OR LEFT SEAT BACKREST WILL NOT BE ABLE TO LOCK",7,0,https://carsmultiverse.com/uk-recall/r-2019-003/
R/2019/016,2019-01-28,Bentley,"Continental GT","IN SPECIFIC DRIVING CONDITIONS THE ELECTRIC POWER STEERING CONTROL UNIT DISPLAYED AN ERROR",548,0,https://carsmultiverse.com/uk-recall/r-2019-016/
R/2019/023,2019-01-25,"Volvo Car",XC60,"THE TAILGATE LIFTING ARMS MAY FREEZE",13273,0,https://carsmultiverse.com/uk-recall/r-2019-023/
R/2018/355,2019-01-25,Mitsubishi,"Lancer JT, Lancer Evolution, Lancer JT Evolution and 1 more","ACTIVATION OF A NON-DESSICATED AMMONIUM NITRATE INFLATOR WITH DEGRADED PROPELLANT MAY RESULT IN AN INFLATOR RUPTURE",55024,0,https://carsmultiverse.com/uk-recall/r-2018-355/
R/2019/019,2019-01-24,Vw,"Passat, Bora, Golf and 1 more","DRIVER AIRBAG GENERATOR HOUSING COULD COME LOOSE",3144,0,https://carsmultiverse.com/uk-recall/r-2019-019/
R/2019/012,2019-01-21,Bmw,"M4 and M3","THE CFK DRIVE SHAFT 3 HOLE FLANGE WITH A PUSHING PIECE IS NOT PRODUCED WITH SUFFICIENT LONG TERM DURABILITY",2919,0,https://carsmultiverse.com/uk-recall/r-2019-012/
R/2019/008,2019-01-21,Bentley,Mulsanne,"THE REAR SEAT BELT ANCHORAGE PERFORMANCE MAY NOT FULFIL THE LOAD REQUIREMENTS ON 5 SEAT CONFIGURATION VEHICLES",652,0,https://carsmultiverse.com/uk-recall/r-2019-008/
R/2018/340,2019-01-21,"Toyota (Gb)","Auris, Corolla and Avensis","A POTENTIAL CRACK COULD DEVELOP IN THE FUEL EVAPORATIVE EMISSION CONTROL UNIT MOUNTED IN THE FUEL TANK",257727,0,https://carsmultiverse.com/uk-recall/r-2018-340/
R/2018/316,2019-01-21,"Toyota (Gb)",Aygo,"AN INCORRECT TOOLING SETUP DURING THE MANUFACTURING OF THE FUEL TANK MAY RESULT IN REDUCED WALL THICKNESS OR SMALL PIN HOLE IN THE TANK'S BOTTOM SURFACE",9,0,https://carsmultiverse.com/uk-recall/r-2018-316/
R/2018/315,2019-01-21,"Toyota (Gb)",Aygo,"THERE IS A POSSIBILITY THAT THE GLUE HOLDING THE GLASS ON THE REAR DOOR COULD DETACH",88784,0,https://carsmultiverse.com/uk-recall/r-2018-315/
R/2019/010,2019-01-14,Peugeot,208,"THE STEERING COLUMN UNIVERSAL JOINT CLAMP MAY BE INCORRECTLY FITTED TO THE STEERING COLUMN",25,0,https://carsmultiverse.com/uk-recall/r-2019-010/
R/2019/009,2019-01-14,Citroen,C3,"THE STEERING COLUMN UNIVERSAL JOINT CLAMP MAY BE INCORRECTLY FITTED TO THE STEERING COLUMN",78,0,https://carsmultiverse.com/uk-recall/r-2019-009/
R/2018/327,2019-01-14,Mercedes-Benz,E-Class,"THE ROUTING OF THE FUEL FEED HOSE MIGHT NOT MEET SPECIFICATIONS",31658,0,https://carsmultiverse.com/uk-recall/r-2018-327/
R/2018/309,2019-01-14,Lexus,"Lexus SC430","FRONT PASSENGER AIR BAG INFLATORS CONTAINING DEGRADED PROPELLANT MAY RESULT IN AN INFLATOR RUPTURE",1842,0,https://carsmultiverse.com/uk-recall/r-2018-309/
R/2018/293,2019-01-14,"Toyota (Gb)","Auris HV, Prius and Prius+","VEHICLE MAY NOT ENTER FAILSAFE DRIVING MODE AS INTENDED IN RESPONSE TO CERTAIN HYBRID SYSTEM FAULTS",166557,0,https://carsmultiverse.com/uk-recall/r-2018-293/
RM/2018/039,2019-01-11,Honda,ADV750,"DETERIORATION FAILURE OF OVERCURRENT PROTECTION ELEMENT INSIDE ECU",2340,0,https://carsmultiverse.com/uk-recall/rm-2018-039/
R/2019/006,2019-01-11,Tesla,"Model S","THE PROPELLANT IN THE FRONT PASSENGER AIRBAG INFLATOR MAY DEGRADE OVER TIME",4973,0,https://carsmultiverse.com/uk-recall/r-2019-006/
R/2018/361,2019-01-11,"Man Truck And Bus","TGX, TGS and TGA","POTENTIAL FOR PREMATURE FAILURE OF PROP SHAFT UNIVERSAL JOINT",1182,0,https://carsmultiverse.com/uk-recall/r-2018-361/
R/2018/311,2019-01-11,Mercedes-Benz,"V Class","IN ORDER TO IMPROVE THE EMISSIONS CERTAIN SPECIFIC CALIBRATIONS OF FUNCTINALITIES MUST BE CHANGED IN THE ENGINE MANAGEMENT OF THE VEHICLES",825,0,https://carsmultiverse.com/uk-recall/r-2018-311/
R/2019/005,2019-01-09,Vw,T-Roc,"THE BONDED JOINT BETWEEN THE UPPER AND LOWER SECTION OF THE REAR SPOILER MAY BE FAULTY",6830,0,https://carsmultiverse.com/uk-recall/r-2019-005/
R/2018/271,2019-01-09,Mercedes-Benz,"V Class","TO IMPROVE THE EMISSIONS OF OUR VEHICLE AS QUICKLY AND EFFECTIVELY AS POSSIBLE VIA SOFTWARE UPDATES TO CERTAIN VEHICLES FROM MODEL SERIES V CLASS (447.8)",4626,0,https://carsmultiverse.com/uk-recall/r-2018-271/
R/2018/356,2019-01-08,Renault,Megane,"INCORRECT POSITIONING OF WIRING POTENTIALLY CAUSING A RISK OF THE SERVICE INDICATOR OR VEHICLE STOP WARNING LIGHT COMING",19,0,https://carsmultiverse.com/uk-recall/r-2018-356/
R/2018/347,2019-01-08,Mitsubishi,"Mirage and ASX","INAPPROPRIATE ECU PROGRAM FOR THE BATTERY DETERIORATION JUDGMENT (STATE OF CHARGE)",22860,0,https://carsmultiverse.com/uk-recall/r-2018-347/
R/2019/002,2019-01-07,"Mercedes Benz Bus",Tourismo,"THE DROP ARM DOES NOT CONFORM TO PRESCRIBED SPECIFICATIONS",44,0,https://carsmultiverse.com/uk-recall/r-2019-002/
R/2018/382,2019-01-04,Infiniti,"QX30 and Q30","GEAR SHIFT INDICATOR MAY NOT BEHAVE AS INTENDED",3272,0,https://carsmultiverse.com/uk-recall/r-2018-382/
R/2018/377,2019-01-04,"Volvo Car","XC60, V60CC, S80 and 8 more","SMALL CRACKS ON THE INSIDE OF A RUBBER FUEL HOSE",338547,0,https://carsmultiverse.com/uk-recall/r-2018-377/
R/2018/371,2019-01-04,Dacia,"Logan and Sandero","DRIVER'S AIRBAG MAY NOT DEPLOY CORRECTLY DURING AN IMPACT",3926,0,https://carsmultiverse.com/uk-recall/r-2018-371/
R/2018/364,2019-01-04,Vauxhall,"Insignia B","CENTRAL DOOR LOCKING SYSTEM MAY UNLOCK THE DOORS WHILST VEHICLE IS PARKED",335,0,https://carsmultiverse.com/uk-recall/r-2018-364/
RSPV/2018/011,2019-01-03,"Bailey Of Bristol","Pursuit II","THE SUNROOF/FRONT DOME COULD POTENTIALLY DETACH FROM THE VEHICLE",2050,0,https://carsmultiverse.com/uk-recall/rspv-2018-011/
RM/2018/042,2019-01-02,"Honda Motorcycles",VFR800F,"MISROUTING OF CANISTER CHARGE TUBE",135,0,https://carsmultiverse.com/uk-recall/rm-2018-042/
R/2018/336,2019-01-02,Mitsubishi,Outlander,"SUNROOF GLASS MAY DETACH FROM THE SUNROOF ASSEMBLY",5940,0,https://carsmultiverse.com/uk-recall/r-2018-336/
R/2018/335,2019-01-02,Mitsubishi,Outlander,"THE FLANGE OF THE DRIVE BELT AUTOMATIC TENSIONER MAY CRACK",398,0,https://carsmultiverse.com/uk-recall/r-2018-335/
R/2018/346,2019-01-01,Subaru,"Legacy and Outback","ELECTRONIC PARKING BRAKE CAPACITOR ON INNER CIRCUIT BOARD AND MAGNET RING OF THE SENSOR MAY FRACTURE",8398,0,https://carsmultiverse.com/uk-recall/r-2018-346/
R/2018/333,2019-01-01,Subaru,Forester,"CLUTCH PIPE MAY CONTACT BULKHEAD WIRING AND POTENTIALLY CAUSE THE ENGINE TO CUT OUT",1146,0,https://carsmultiverse.com/uk-recall/r-2018-333/
R/2018/264,2018-12-27,"Mercedes-Benz Vans","Sprinter 907 and Sprinter 910","POST-COLLISION BRAKE FUNCTION WITHIN ESP WAS NOT ACTIVATED DURING PRODUCTION",298,0,https://carsmultiverse.com/uk-recall/r-2018-264/
R/2018/210,2018-12-27,"Mercedes-Benz Vans","Citan 415","HOLE MAY APPEAR IN THE HEAT SHIELD CONNECTION AT THE DIESEL PARTICULATE FILTER/CATALYTIC CONVERTER HOUSING",7,0,https://carsmultiverse.com/uk-recall/r-2018-210/
R/2019/177,2018-12-22,Wrightbus,"Streetdeck HEV and Streetlite DF HEV","VEHICLE MAY NOT BRAKE AS EXPECTED",168,0,https://carsmultiverse.com/uk-recall/r-2019-177/
R/2021/374,2018-12-21,Lamborghini,"Gallardo Spyder and Gallardo Coupe","VEHICLES MIGHT HAVE FOLLOWED A WRONG PROCEDURE TO PERFORM THE REFLASH OF THE ENGINE SOFTWARE OF THE ENGINE ECU",516,0,https://carsmultiverse.com/uk-recall/r-2021-374/
R/2018/383,2018-12-21,"Volvo Trucks",FL3,"THE SCREW/NUT FOR THE CAB LIFT CYLINDER MAY COME LOOSE",8,0,https://carsmultiverse.com/uk-recall/r-2018-383/
R/2018/375,2018-12-21,Ford,Focus,"A BRAKE PEDAL HINGE BOLT DOES NOT MEET SPECIFICATION",5336,0,https://carsmultiverse.com/uk-recall/r-2018-375/
R/2018/372,2018-12-21,"Mercedes-Benz Vans","Sprinter 907","AN INCORRECT LENGTH LINKAGE WAS MOUNTED ON THE ROTATION ANGLE SENSOR OF THE REAR AXLE",1,0,https://carsmultiverse.com/uk-recall/r-2018-372/
R/2018/322,2018-12-21,"Mercedes-Benz Vans","Sprinter 907","THE BLIND SPOT MONITORING EXIT WARNING SUB FEATURE DOES NOT FUNCTION AS DESIGNED AFTER THE IGNITION IS SWITCHED OFF",8,0,https://carsmultiverse.com/uk-recall/r-2018-322/
R/2018/291,2018-12-21,Ford,GT,"REAR WING (SPOILER) VALVE BLOCK MAY LEAK HYDRAULIC OIL ONTO EXHAUST",8,0,https://carsmultiverse.com/uk-recall/r-2018-291/
RM/2019/001,2018-12-20,Ktm,"450 Rally Factory Replica","NON CONFORMITIES OCCURED IN THE PRODUCTION PROCESS OF THE REAR FUEL TANK",6,0,https://carsmultiverse.com/uk-recall/rm-2019-001/
RM/2018/044,2018-12-20,"Bmw Motorrad","R 9 T Scrambler, C650GT, F800GSA and 1 more","THE MALFUNCTION INDICATOR LIGHT IS NOT ACTIVATED PROPERLY IN THE EVENT OF A FAULT",48,0,https://carsmultiverse.com/uk-recall/rm-2018-044/
R/2018/376,2018-12-20,Fruehauf,"Mercedes Arocs Tipper Body Subframe","CRACKED CHASSIS/SIDE MEMBERS AND/OR TWISTING/DEFORMATION OF CHASSIS",10,0,https://carsmultiverse.com/uk-recall/r-2018-376/
